segment id,excitatory synapses,inhibitory synapses,cortical layer,cell type
50290255720,1,1,Layer 4,microglia/opc
42254025613,0,0,Layer 4,oligodendrocyte
33036165057,2440,841,Layer 6,pyramidal neuron
41294316067,794,315,Layer 4,pyramidal neuron
49673027404,0,18,Layer 6,microglia/opc
7293901761,1,0,White matter,oligodendrocyte
38392411691,2,2,Layer 4,microglia/opc
2978327839,4347,1006,Layer 3,pyramidal neuron
3283123811,1123,422,Layer 4,pyramidal neuron
42959925544,1,0,White matter,oligodendrocyte
4395105438,146,171,Layer 1,interneuron
343826816,186,176,Layer 2,microglia/opc
39215644737,0,2,Layer 1,astrocyte
33571466674,0,1,White matter,oligodendrocyte
49904337140,0,1,White matter,oligodendrocyte
3526551197,1,1,Layer 5,unclassified neuron
30501870437,992,421,Layer 5,spiny stellate neuron
6322701430,3,1,Layer 6,oligodendrocyte
2789755020,1410,334,Layer 3,excitatory/spiny neuron with atypical tree
7484898336,0,0,White matter,oligodendrocyte
8416003854,0,0,White matter,oligodendrocyte
29951572512,2391,864,Layer 3,interneuron
6472360642,7238,2192,Layer 4,pyramidal neuron
51504560831,1,0,White matter,oligodendrocyte
65065196234,24,22,Layer 3,astrocyte
49229667444,213,180,Layer 2,interneuron
38158662527,26,37,Layer 4,unclassified neuron
69891265267,0,0,White matter,microglia/opc
33300998143,328,128,Layer 4,oligodendrocyte
5101444170,1601,584,Layer 5,pyramidal neuron
66747568368,1,0,Layer 6,oligodendrocyte
33155909615,198,96,Layer 4,oligodendrocyte
2152699855,1,0,Layer 1,oligodendrocyte
33456208113,25,19,White matter,astrocyte
6641076745,0,0,White matter,oligodendrocyte
29723256450,1,0,Layer 1,oligodendrocyte
58116536092,0,1,Layer 6,microglia/opc
36649547280,595,196,Layer 2,pyramidal neuron
4943636247,2350,656,Layer 4,pyramidal neuron
6764148137,3,1,Layer 4,oligodendrocyte
82035427488,1,0,Layer 4,oligodendrocyte
47843477505,41,24,Layer 3,astrocyte
3717561844,36,45,Layer 5,astrocyte
34099367184,928,343,Layer 5,excitatory/spiny neuron with atypical tree
43731194357,7,5,White matter,microglia/opc
53931248190,24,24,Layer 1,astrocyte
41376417617,1,0,Layer 6,oligodendrocyte
67045529139,0,0,Layer 3,microglia/opc
38944722952,261,155,Layer 5,pyramidal neuron
6373264017,323,137,Layer 2,excitatory/spiny neuron with atypical tree
3047901590,0,0,Layer 4,oligodendrocyte
36285077901,170,130,Layer 2,interneuron
28892036786,1049,374,Layer 2,pyramidal neuron
29179253990,2152,577,Layer 4,pyramidal neuron
84826774063,0,0,White matter,oligodendrocyte
25698039096,1,0,White matter,oligodendrocyte
6236220011,1,1,Layer 5,oligodendrocyte
33384370606,0,0,Layer 6,oligodendrocyte
2094106007,49,79,Layer 1,microglia/opc
6334323692,0,0,White matter,oligodendrocyte
416640370,295,107,Layer 2,pyramidal neuron
3722481177,6567,1986,Layer 2,pyramidal neuron
52450635639,0,0,White matter,oligodendrocyte
41849489807,312,137,Layer 2,interneuron
30037603287,362,170,Layer 5,unclassified neuron
42595192326,3,0,White matter,oligodendrocyte
68420362084,1,0,White matter,oligodendrocyte
77950257750,0,0,Layer 3,oligodendrocyte
86386263226,1,0,White matter,microglia/opc
43210069335,0,0,White matter,oligodendrocyte
4550957160,148,157,Layer 3,interneuron
49772432253,0,0,White matter,oligodendrocyte
39124929053,1,1,Layer 3,microglia/opc
6284300943,87,119,Layer 3,astrocyte
45619045594,0,0,Layer 1,microglia/opc
46981858088,668,297,Layer 3,interneuron
896313013,1982,712,Layer 3,pyramidal neuron
42919464490,674,350,White matter,excitatory/spiny neuron with atypical tree
54261304702,72,52,Layer 3,astrocyte
5025446624,1534,619,Layer 6,excitatory/spiny neuron with atypical tree
42435295377,1,0,White matter,oligodendrocyte
73799193280,3,4,Layer 3,microglia/opc
72121844380,2,3,Layer 3,oligodendrocyte
3775409797,715,461,Layer 5,pyramidal neuron
60225697890,0,0,White matter,oligodendrocyte
84273030198,0,0,White matter,oligodendrocyte
50913424784,54,47,Layer 5,astrocyte
29570969366,1048,480,Layer 5,pyramidal neuron
7194555861,0,0,White matter,oligodendrocyte
29704670644,57,61,Layer 3,astrocyte
31362380195,301,124,Layer 5,pyramidal neuron
43047472123,0,0,White matter,oligodendrocyte
2018573867,21,58,Layer 2,microglia/opc
42363182854,0,0,White matter,oligodendrocyte
7125463969,2,2,Layer 5,microglia/opc
33012965663,1042,437,Layer 3,pyramidal neuron
85577703164,1,0,Layer 3,oligodendrocyte
66354084765,3,5,Layer 6,microglia/opc
7864304628,42,10,White matter,oligodendrocyte
4245985431,1608,555,Layer 3,interneuron
33796950699,1,3,Layer 4,pyramidal neuron
5769075674,101,128,Layer 6,astrocyte
50735089716,0,0,White matter,oligodendrocyte
30667810682,43,71,Layer 3,astrocyte
72150900608,47,32,Layer 3,astrocyte
3592036391,2441,976,Layer 2,pyramidal neuron
94754419066,0,3,White matter,oligodendrocyte
5559579527,66,68,Layer 1,astrocyte
45500717643,1,0,Layer 2,oligodendrocyte
43645017205,0,0,White matter,oligodendrocyte
8488672632,0,1,White matter,oligodendrocyte
42906251913,1,3,Layer 6,oligodendrocyte
49550290706,632,226,Layer 2,pyramidal neuron
49614183981,0,0,Layer 6,oligodendrocyte
6326978391,1859,601,Layer 4,pyramidal neuron
30928496018,240,105,Layer 4,pyramidal neuron
41723687826,0,0,White matter,oligodendrocyte
